SurveyYear,ADM1_NAME,received_all_8_basics,received_nos,number_of_children_12-23_months,number_of_children_12-23_months_(unweighted),vacc_round,vacc,round,value,vacc_age,pmc_3_recommen,southern_nga,geo_zone,mealses_incr,dtp1_to_3_drop,dtp2_to_measles_drop,State
2018,Sokoto,4.6,52.4,178,197,dpt_2,dpt,2,12.4,76,yes,Northern States,North-West,yes,0.29,1.53,Sokoto
2018,Sokoto,4.6,52.4,178,197,dpt_3,dpt,3,7.2,106,yes,Northern States,North-West,yes,0.29,1.53,Sokoto
2018,Sokoto,4.6,52.4,178,197,measles,measles,,19,274,yes,Northern States,North-West,yes,0.29,1.53,Sokoto
2018,Taraba,24.1,20.1,134,203,bcg,bcg,,69.9,0,no,Southern States,North-East,no,0.61,0.66,Taraba
2018,Taraba,24.1,20.1,134,203,dpt_1,dpt,1,67.9,61,no,Southern States,North-East,no,0.61,0.66,Taraba
2018,Taraba,24.1,20.1,134,203,dpt_2,dpt,2,62,76,yes,Southern States,North-East,no,0.61,0.66,Taraba
2018,Taraba,24.1,20.1,134,203,dpt_3,dpt,3,41.7,106,yes,Southern States,North-East,no,0.61,0.66,Taraba
2018,Taraba,24.1,20.1,134,203,measles,measles,,40.8,274,yes,Southern States,North-East,no,0.61,0.66,Taraba
2018,Yobe,20.6,19.9,221,216,bcg,bcg,,44.7,0,no,Northern States,North-East,yes,0.58,1.05,Yobe
2018,Yobe,20.6,19.9,221,216,dpt_1,dpt,1,49.9,61,no,Northern States,North-East,yes,0.58,1.05,Yobe
2018,Yobe,20.6,19.9,221,216,dpt_2,dpt,2,43.5,76,yes,Northern States,North-East,yes,0.58,1.05,Yobe
2018,Yobe,20.6,19.9,221,216,dpt_3,dpt,3,29,106,yes,Northern States,North-East,yes,0.58,1.05,Yobe
2018,Yobe,20.6,19.9,221,216,measles,measles,,45.5,274,yes,Northern States,North-East,yes,0.58,1.05,Yobe
2018,Zamfara,7.4,58.5,220,201,bcg,bcg,,16.2,0,no,Northern States,North-West,yes,0.63,0.74,Zamfara
2018,Zamfara,7.4,58.5,220,201,dpt_1,dpt,1,17.1,61,no,Northern States,North-West,yes,0.63,0.74,Zamfara
2018,Zamfara,7.4,58.5,220,201,dpt_2,dpt,2,16.5,76,yes,Northern States,North-West,yes,0.63,0.74,Zamfara
2018,Zamfara,7.4,58.5,220,201,dpt_3,dpt,3,10.8,106,yes,Northern States,North-West,yes,0.63,0.74,Zamfara
2018,Zamfara,7.4,58.5,220,201,measles,measles,,12.2,274,yes,Northern States,North-West,yes,0.63,0.74,Zamfara
